**************************************************Fold-1**************************************************
test ndcg 1:0.4333, 3:0.4463, 5:0.4683, 10:0.5070, 20:0.5755
test err 1:0.2009, 3:0.2918, 5:0.3216, 10:0.3438, 20:0.3522
test ndcg 1:0.4655, 3:0.4837, 5:0.4964, 10:0.5297, 20:0.5913
test err 1:0.2216, 3:0.3205, 5:0.3476, 10:0.3692, 20:0.3759
test ndcg 1:0.5046, 3:0.5010, 5:0.5092, 10:0.5418, 20:0.6015
test err 1:0.2422, 3:0.3353, 5:0.3603, 10:0.3819, 20:0.3886
test ndcg 1:0.5126, 3:0.4977, 5:0.5041, 10:0.5342, 20:0.5964
test err 1:0.2414, 3:0.3325, 5:0.3589, 10:0.3793, 20:0.3867
test ndcg 1:0.4736, 3:0.5047, 5:0.5144, 10:0.5380, 20:0.5959
test err 1:0.2293, 3:0.3335, 5:0.3605, 10:0.3792, 20:0.3862
test ndcg 1:0.5207, 3:0.5154, 5:0.5225, 10:0.5485, 20:0.6062
test err 1:0.2491, 3:0.3434, 5:0.3702, 10:0.3906, 20:0.3969
test ndcg 1:0.4965, 3:0.5171, 5:0.5163, 10:0.5451, 20:0.6044
test err 1:0.2345, 3:0.3388, 5:0.3621, 10:0.3833, 20:0.3900
test ndcg 1:0.5069, 3:0.5114, 5:0.5147, 10:0.5407, 20:0.6030
test err 1:0.2457, 3:0.3400, 5:0.3671, 10:0.3849, 20:0.3928
test ndcg 1:0.5011, 3:0.5243, 5:0.5283, 10:0.5520, 20:0.6100
test err 1:0.2448, 3:0.3503, 5:0.3740, 10:0.3919, 20:0.3989
test ndcg 1:0.5092, 3:0.5247, 5:0.5217, 10:0.5436, 20:0.5973
test err 1:0.2491, 3:0.3522, 5:0.3756, 10:0.3935, 20:0.4000
test ndcg 1:0.4839, 3:0.4880, 5:0.5068, 10:0.5279, 20:0.5862
test err 1:0.2388, 3:0.3324, 5:0.3624, 10:0.3796, 20:0.3868
test ndcg 1:0.4931, 3:0.5183, 5:0.5228, 10:0.5475, 20:0.6047
test err 1:0.2388, 3:0.3405, 5:0.3673, 10:0.3861, 20:0.3924
test ndcg 1:0.4965, 3:0.5153, 5:0.5210, 10:0.5452, 20:0.6032
test err 1:0.2500, 3:0.3499, 5:0.3743, 10:0.3928, 20:0.3995
test ndcg 1:0.5195, 3:0.5250, 5:0.5306, 10:0.5554, 20:0.6110
test err 1:0.2552, 3:0.3526, 5:0.3792, 10:0.3969, 20:0.4034
test ndcg 1:0.4977, 3:0.5202, 5:0.5236, 10:0.5470, 20:0.6008
test err 1:0.2422, 3:0.3408, 5:0.3669, 10:0.3857, 20:0.3922
test ndcg 1:0.4977, 3:0.5047, 5:0.5236, 10:0.5471, 20:0.6025
test err 1:0.2422, 3:0.3363, 5:0.3672, 10:0.3850, 20:0.3917
test ndcg 1:0.5000, 3:0.5148, 5:0.5247, 10:0.5474, 20:0.6001
test err 1:0.2457, 3:0.3403, 5:0.3697, 10:0.3886, 20:0.3946
test ndcg 1:0.4954, 3:0.5090, 5:0.5138, 10:0.5414, 20:0.5976
test err 1:0.2440, 3:0.3446, 5:0.3679, 10:0.3876, 20:0.3941
test ndcg 1:0.4977, 3:0.5179, 5:0.5224, 10:0.5468, 20:0.6021
