test ndcg 1:0.3623, 3:0.4096, 5:0.4721, 7:0.4980, 10:0.5628
test ndcg 1:0.5072, 3:0.5237, 5:0.5474, 7:0.5952, 10:0.6460
test ndcg 1:0.5362, 3:0.5198, 5:0.5495, 7:0.5895, 10:0.6330
test ndcg 1:0.5266, 3:0.5366, 5:0.5645, 7:0.5860, 10:0.6391
test ndcg 1:0.5797, 3:0.5674, 5:0.5954, 7:0.6228, 10:0.6564
test ndcg 1:0.4879, 3:0.5175, 5:0.5788, 7:0.5938, 10:0.6411
test ndcg 1:0.5121, 3:0.5510, 5:0.5701, 7:0.6016, 10:0.6458
test ndcg 1:0.4783, 3:0.5229, 5:0.5253, 7:0.5773, 10:0.6143
test ndcg 1:0.5314, 3:0.5280, 5:0.5431, 7:0.5717, 10:0.6256
test ndcg 1:0.5121, 3:0.5064, 5:0.5669, 7:0.5868, 10:0.6382
test ndcg 1:0.5024, 3:0.5276, 5:0.5704, 7:0.5885, 10:0.6332
test ndcg 1:0.5556, 3:0.5162, 5:0.5518, 7:0.5939, 10:0.6268
test ndcg 1:0.5072, 3:0.5011, 5:0.5481, 7:0.5816, 10:0.6219
test ndcg 1:0.5797, 3:0.5217, 5:0.5672, 7:0.5952, 10:0.6348
test ndcg 1:0.5411, 3:0.5402, 5:0.5965, 7:0.6137, 10:0.6586
test ndcg 1:0.5411, 3:0.5545, 5:0.5910, 7:0.6044, 10:0.6478
test ndcg 1:0.4831, 3:0.5240, 5:0.5751, 7:0.5880, 10:0.6313
test ndcg 1:0.4928, 3:0.5057, 5:0.5508, 7:0.5803, 10:0.6257
test ndcg 1:0.4638, 3:0.5085, 5:0.5553, 7:0.5794, 10:0.6164
test ndcg 1:0.5362, 3:0.5444, 5:0.5870, 7:0.6066, 10:0.6494
test ndcg 1:0.5700, 3:0.5466, 5:0.5645, 7:0.5868, 10:0.6287
test ndcg 1:0.4348, 3:0.5168, 5:0.5482, 7:0.5918, 10:0.6297
test ndcg 1:0.4976, 3:0.5340, 5:0.5727, 7:0.6008, 10:0.6381
test ndcg 1:0.4251, 3:0.5196, 5:0.5280, 7:0.5552, 10:0.6031
test ndcg 1:0.5314, 3:0.5593, 5:0.5927, 7:0.6125, 10:0.6488
test ndcg 1:0.5121, 3:0.5622, 5:0.5853, 7:0.5974, 10:0.6422
test ndcg 1:0.4638, 3:0.5134, 5:0.5515, 7:0.5764, 10:0.6154
test ndcg 1:0.4734, 3:0.5239, 5:0.5639, 7:0.5858, 10:0.6270
test ndcg 1:0.4879, 3:0.5351, 5:0.5565, 7:0.5897, 10:0.6316
test ndcg 1:0.4928, 3:0.5317, 5:0.5671, 7:0.5939, 10:0.6482
test ndcg 1:0.5169, 3:0.5196, 5:0.5556, 7:0.5931, 10:0.6278
test ndcg 1:0.5411, 3:0.5358, 5:0.5636, 7:0.5846, 10:0.6272
test ndcg 1:0.4976, 3:0.5340, 5:0.5839, 7:0.6061, 10:0.6512
test ndcg 1:0.5266, 3:0.5396, 5:0.5791, 7:0.6108, 10:0.6491
test ndcg 1:0.5556, 3:0.5619, 5:0.5892, 7:0.6139, 10:0.6527
test ndcg 1:0.5314, 3:0.5405, 5:0.5722, 7:0.6068, 10:0.6507
test ndcg 1:0.4831, 3:0.5353, 5:0.5633, 7:0.5946, 10:0.6276
test ndcg 1:0.4444, 3:0.5274, 5:0.5470, 7:0.5876, 10:0.6309
test ndcg 1:0.4976, 3:0.5428, 5:0.5648, 7:0.6013, 10:0.6404
test ndcg 1:0.5217, 3:0.5653, 5:0.5829, 7:0.6148, 10:0.6513
test ndcg 1:0.5169, 3:0.5582, 5:0.5887, 7:0.6057, 10:0.6527
test ndcg 1:0.5314, 3:0.5161, 5:0.5729, 7:0.5959, 10:0.6383
test ndcg 1:0.4928, 3:0.5404, 5:0.5688, 7:0.5980, 10:0.6340
test ndcg 1:0.4686, 3:0.5073, 5:0.5315, 7:0.5817, 10:0.6203
test ndcg 1:0.4444, 3:0.5067, 5:0.5317, 7:0.5643, 10:0.5938
test ndcg 1:0.5556, 3:0.5230, 5:0.5792, 7:0.5996, 10:0.6530
test ndcg 1:0.4541, 3:0.4960, 5:0.5338, 7:0.5659, 10:0.6094
test ndcg 1:0.5072, 3:0.5248, 5:0.5509, 7:0.5907, 10:0.6393
test ndcg 1:0.4831, 3:0.5106, 5:0.5439, 7:0.5842, 10:0.6218
test ndcg 1:0.5217, 3:0.5483, 5:0.5940, 7:0.6182, 10:0.6612
test ndcg 1:0.5169, 3:0.5668, 5:0.5825, 7:0.5990, 10:0.6460
test ndcg 1:0.5217, 3:0.5412, 5:0.5742, 7:0.5992, 10:0.6383
test ndcg 1:0.4831, 3:0.5057, 5:0.5401, 7:0.5801, 10:0.6242
test ndcg 1:0.4831, 3:0.5132, 5:0.5554, 7:0.5908, 10:0.6339
test ndcg 1:0.4879, 3:0.4977, 5:0.5555, 7:0.5917, 10:0.6280
test ndcg 1:0.4686, 3:0.5062, 5:0.5465, 7:0.5874, 10:0.6252
test ndcg 1:0.5121, 3:0.5068, 5:0.5501, 7:0.5798, 10:0.6320
test ndcg 1:0.5217, 3:0.5237, 5:0.5467, 7:0.5822, 10:0.6249
test ndcg 1:0.5169, 3:0.5287, 5:0.5671, 7:0.6033, 10:0.6553
test ndcg 1:0.4734, 3:0.5188, 5:0.5401, 7:0.5743, 10:0.6124
test ndcg 1:0.4783, 3:0.5429, 5:0.5575, 7:0.5832, 10:0.6341
test ndcg 1:0.5266, 3:0.5297, 5:0.5533, 7:0.5947, 10:0.6348
test ndcg 1:0.5121, 3:0.5325, 5:0.5707, 7:0.5896, 10:0.6421
test ndcg 1:0.4879, 3:0.5064, 5:0.5582, 7:0.5773, 10:0.6296
test ndcg 1:0.4783, 3:0.5102, 5:0.5459, 7:0.5754, 10:0.6354
test ndcg 1:0.4686, 3:0.5082, 5:0.5433, 7:0.5825, 10:0.6210
test ndcg 1:0.4734, 3:0.5168, 5:0.5617, 7:0.5883, 10:0.6321
test ndcg 1:0.4783, 3:0.5261, 5:0.5567, 7:0.5842, 10:0.6333
test ndcg 1:0.4783, 3:0.5008, 5:0.5443, 7:0.5724, 10:0.6183
test ndcg 1:0.5217, 3:0.5246, 5:0.5567, 7:0.5947, 10:0.6358
test ndcg 1:0.5121, 3:0.5214, 5:0.5519, 7:0.5925, 10:0.6369
test ndcg 1:0.4638, 3:0.4915, 5:0.5378, 7:0.5749, 10:0.6242
test ndcg 1:0.4976, 3:0.5194, 5:0.5588, 7:0.5876, 10:0.6319
test ndcg 1:0.5121, 3:0.5137, 5:0.5483, 7:0.5929, 10:0.6410
test ndcg 1:0.5072, 3:0.5278, 5:0.5601, 7:0.5950, 10:0.6425
test ndcg 1:0.4976, 3:0.4985, 5:0.5516, 7:0.5876, 10:0.6403
test ndcg 1:0.4734, 3:0.5077, 5:0.5503, 7:0.5790, 10:0.6229
test ndcg 1:0.4444, 3:0.4990, 5:0.5358, 7:0.5752, 10:0.6149
test ndcg 1:0.4783, 3:0.4885, 5:0.5344, 7:0.5787, 10:0.6223
test ndcg 1:0.4686, 3:0.5092, 5:0.5516, 7:0.5861, 10:0.6323
test ndcg 1:0.4638, 3:0.4733, 5:0.5253, 7:0.5655, 10:0.6106
test ndcg 1:0.5266, 3:0.5259, 5:0.5757, 7:0.5950, 10:0.6360
test ndcg 1:0.4831, 3:0.5022, 5:0.5545, 7:0.5904, 10:0.6305
test ndcg 1:0.4831, 3:0.5062, 5:0.5368, 7:0.5787, 10:0.6253
test ndcg 1:0.4589, 3:0.5053, 5:0.5558, 7:0.5848, 10:0.6208
test ndcg 1:0.4638, 3:0.4897, 5:0.5379, 7:0.5785, 10:0.6193
test ndcg 1:0.4831, 3:0.5164, 5:0.5588, 7:0.5874, 10:0.6333
test ndcg 1:0.5024, 3:0.5345, 5:0.5589, 7:0.5983, 10:0.6365
test ndcg 1:0.4686, 3:0.5120, 5:0.5420, 7:0.5899, 10:0.6292
test ndcg 1:0.4976, 3:0.5110, 5:0.5450, 7:0.5828, 10:0.6285
test ndcg 1:0.4831, 3:0.5223, 5:0.5537, 7:0.5849, 10:0.6289
test ndcg 1:0.5411, 3:0.5182, 5:0.5527, 7:0.5897, 10:0.6399
test ndcg 1:0.4493, 3:0.5119, 5:0.5423, 7:0.5788, 10:0.6291
