**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/home/ryan/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.4, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.2756, 3:0.3646, 5:0.4003, 10:0.4671, 20:0.1612
test err 1:0.1490, 3:0.2731, 5:0.2962, 10:0.3099, 20:0.1253
test ndcg 1:0.3718, 3:0.4388, 5:0.4791, 10:0.5636, 20:0.2428
test err 1:0.2115, 3:0.3298, 5:0.3513, 10:0.3707, 20:0.1670
test ndcg 1:0.3782, 3:0.4312, 5:0.4720, 10:0.5573, 20:0.2317
test err 1:0.2163, 3:0.3283, 5:0.3539, 10:0.3716, 20:0.1543
test ndcg 1:0.4038, 3:0.4712, 5:0.5111, 10:0.6132, 20:0.2684
test err 1:0.2260, 3:0.3550, 5:0.3803, 10:0.3977, 20:0.1918
test ndcg 1:0.4295, 3:0.4576, 5:0.4987, 10:0.6129, 20:0.2707
test err 1:0.2452, 3:0.3531, 5:0.3821, 10:0.4041, 20:0.2041
test ndcg 1:0.4103, 3:0.4892, 5:0.5300, 10:0.6267, 20:0.2756
test err 1:0.2308, 3:0.3632, 5:0.3886, 10:0.4037, 20:0.2042
test ndcg 1:0.4423, 3:0.4980, 5:0.5142, 10:0.6211, 20:0.2644
test err 1:0.2452, 3:0.3705, 5:0.3925, 10:0.4100, 20:0.1990
test ndcg 1:0.4295, 3:0.4744, 5:0.4983, 10:0.6009, 20:0.2555
test err 1:0.2452, 3:0.3542, 5:0.3800, 10:0.3991, 20:0.1934
test ndcg 1:0.4038, 3:0.4403, 5:0.5116, 10:0.6094, 20:0.2602
test err 1:0.2452, 3:0.3523, 5:0.3881, 10:0.4049, 20:0.1882
test ndcg 1:0.4615, 3:0.4860, 5:0.5222, 10:0.6355, 20:0.2808
test err 1:0.2596, 3:0.3681, 5:0.3970, 10:0.4142, 20:0.2063
test ndcg 1:0.4103, 3:0.4541, 5:0.4940, 10:0.6042, 20:0.2560
test err 1:0.2308, 3:0.3452, 5:0.3747, 10:0.3927, 20:0.1827
test ndcg 1:0.4103, 3:0.4604, 5:0.5093, 10:0.6151, 20:0.2565
test err 1:0.2308, 3:0.3449, 5:0.3773, 10:0.3928, 20:0.1830
test ndcg 1:0.3846, 3:0.4726, 5:0.5158, 10:0.6217, 20:0.2651
test err 1:0.2115, 3:0.3347, 5:0.3698, 10:0.3853, 20:0.1873
test ndcg 1:0.4103, 3:0.4812, 5:0.5276, 10:0.6271, 20:0.2658
test err 1:0.2212, 3:0.3473, 5:0.3770, 10:0.3924, 20:0.1903
test ndcg 1:0.4167, 3:0.4947, 5:0.5487, 10:0.6360, 20:0.2714
test err 1:0.2356, 3:0.3692, 5:0.3969, 10:0.4101, 20:0.2054
test ndcg 1:0.4167, 3:0.4919, 5:0.5491, 10:0.6331, 20:0.2740
test err 1:0.2356, 3:0.3670, 5:0.3968, 10:0.4095, 20:0.1997
test ndcg 1:0.4551, 3:0.5199, 5:0.5554, 10:0.6485, 20:0.2805
test err 1:0.2548, 3:0.3821, 5:0.4077, 10:0.4209, 20:0.2084
test ndcg 1:0.4231, 3:0.4640, 5:0.5191, 10:0.6121, 20:0.2669
test err 1:0.2500, 3:0.3544, 5:0.3899, 10:0.4039, 20:0.1973
test ndcg 1:0.3910, 3:0.4444, 5:0.5069, 10:0.6141, 20:0.2625
