**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/home/ryan/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=4, num_epoches=100, num_layers=1, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.4253, 3:0.4310, 5:0.4296, 10:0.4544, 20:0.5238
test err 1:0.2017, 3:0.2930, 5:0.3166, 10:0.3375, 20:0.3467
test ndcg 1:0.4379, 3:0.4356, 5:0.4460, 10:0.4777, 20:0.5358
test err 1:0.2112, 3:0.3003, 5:0.3277, 10:0.3482, 20:0.3563
test ndcg 1:0.4759, 3:0.4676, 5:0.4697, 10:0.5095, 20:0.5732
test err 1:0.2259, 3:0.3205, 5:0.3458, 10:0.3668, 20:0.3748
test ndcg 1:0.4667, 3:0.4732, 5:0.4749, 10:0.5152, 20:0.5745
test err 1:0.2293, 3:0.3251, 5:0.3482, 10:0.3712, 20:0.3786
test ndcg 1:0.4839, 3:0.4884, 5:0.4970, 10:0.5275, 20:0.5881
test err 1:0.2371, 3:0.3325, 5:0.3576, 10:0.3780, 20:0.3855
test ndcg 1:0.4667, 3:0.4819, 5:0.4857, 10:0.5132, 20:0.5756
test err 1:0.2241, 3:0.3224, 5:0.3475, 10:0.3675, 20:0.3751
test ndcg 1:0.4920, 3:0.4852, 5:0.4914, 10:0.5278, 20:0.5823
test err 1:0.2414, 3:0.3292, 5:0.3564, 10:0.3776, 20:0.3845
test ndcg 1:0.5023, 3:0.4988, 5:0.5092, 10:0.5438, 20:0.6006
test err 1:0.2422, 3:0.3379, 5:0.3634, 10:0.3852, 20:0.3919
test ndcg 1:0.4851, 3:0.5050, 5:0.5102, 10:0.5387, 20:0.6011
test err 1:0.2276, 3:0.3302, 5:0.3541, 10:0.3748, 20:0.3824
test ndcg 1:0.4965, 3:0.5038, 5:0.5105, 10:0.5402, 20:0.5967
test err 1:0.2397, 3:0.3375, 5:0.3618, 10:0.3831, 20:0.3895
test ndcg 1:0.4920, 3:0.5025, 5:0.5150, 10:0.5408, 20:0.5993
test err 1:0.2414, 3:0.3400, 5:0.3660, 10:0.3848, 20:0.3918
test ndcg 1:0.4977, 3:0.4967, 5:0.5053, 10:0.5312, 20:0.5921
test err 1:0.2405, 3:0.3382, 5:0.3644, 10:0.3835, 20:0.3909
test ndcg 1:0.4954, 3:0.4967, 5:0.4993, 10:0.5261, 20:0.5891
test err 1:0.2405, 3:0.3354, 5:0.3607, 10:0.3803, 20:0.3884
test ndcg 1:0.5126, 3:0.5037, 5:0.5105, 10:0.5402, 20:0.5954
test err 1:0.2483, 3:0.3408, 5:0.3663, 10:0.3869, 20:0.3938
test ndcg 1:0.4965, 3:0.5037, 5:0.5045, 10:0.5407, 20:0.5996
test err 1:0.2328, 3:0.3314, 5:0.3565, 10:0.3789, 20:0.3850
test ndcg 1:0.4782, 3:0.4861, 5:0.5016, 10:0.5295, 20:0.5934
test err 1:0.2138, 3:0.3178, 5:0.3473, 10:0.3670, 20:0.3741
test ndcg 1:0.4954, 3:0.5083, 5:0.5154, 10:0.5365, 20:0.5945
test err 1:0.2336, 3:0.3395, 5:0.3648, 10:0.3824, 20:0.3897
test ndcg 1:0.4920, 3:0.5030, 5:0.5091, 10:0.5333, 20:0.5944
test err 1:0.2414, 3:0.3404, 5:0.3648, 10:0.3835, 20:0.3906
test ndcg 1:0.4908, 3:0.5009, 5:0.5090, 10:0.5360, 20:0.5944
test err 1:0.2388, 3:0.3356, 5:0.3629, 10:0.3817, 20:0.3888
test ndcg 1:0.4759, 3:0.4937, 5:0.5004, 10:0.5326, 20:0.5929
test err 1:0.2362, 3:0.3328, 5:0.3593, 10:0.3786, 20:0.3860
test ndcg 1:0.4931, 3:0.4971, 5:0.5030, 10:0.5353, 20:0.5905
test err 1:0.2422, 3:0.3347, 5:0.3632, 10:0.3829, 20:0.3894
test ndcg 1:0.4988, 3:0.4980, 5:0.5061, 10:0.5354, 20:0.5900
test err 1:0.2431, 3:0.3371, 5:0.3638, 10:0.3838, 20:0.3905
test ndcg 1:0.5057, 3:0.5058, 5:0.5156, 10:0.5391, 20:0.5980
