**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/mnt/disk/zf/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.93, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='attRNN', n_head=1, num_epoches=100, num_layers=1, page=3, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3654, 3:0.4802, 5:0.5279, 10:0.6166, 20:0.2698
test err 1:0.2260, 3:0.3687, 5:0.3922, 10:0.4071, 20:0.1974
test ndcg 1:0.3910, 3:0.4952, 5:0.5307, 10:0.6167, 20:0.2577
test err 1:0.2260, 3:0.3618, 5:0.3823, 10:0.3980, 20:0.1821
test ndcg 1:0.4103, 3:0.4677, 5:0.5340, 10:0.6181, 20:0.2688
test err 1:0.2404, 3:0.3599, 5:0.3893, 10:0.4033, 20:0.1923
test ndcg 1:0.4103, 3:0.4528, 5:0.5210, 10:0.6053, 20:0.2572
test err 1:0.2404, 3:0.3528, 5:0.3872, 10:0.4006, 20:0.1813
test ndcg 1:0.4808, 3:0.4785, 5:0.5308, 10:0.6130, 20:0.2655
test err 1:0.2740, 3:0.3749, 5:0.4036, 10:0.4186, 20:0.1968
test ndcg 1:0.4615, 3:0.4773, 5:0.5244, 10:0.6208, 20:0.2758
test err 1:0.2692, 3:0.3727, 5:0.4010, 10:0.4178, 20:0.2051
test ndcg 1:0.4359, 3:0.4866, 5:0.5247, 10:0.6286, 20:0.2712
test err 1:0.2500, 3:0.3656, 5:0.3912, 10:0.4105, 20:0.1947
test ndcg 1:0.4423, 3:0.4764, 5:0.5091, 10:0.6089, 20:0.2637
test err 1:0.2548, 3:0.3635, 5:0.3898, 10:0.4077, 20:0.1865
test ndcg 1:0.4231, 3:0.4753, 5:0.5099, 10:0.6184, 20:0.2637
test err 1:0.2404, 3:0.3600, 5:0.3850, 10:0.4046, 20:0.1870
test ndcg 1:0.4615, 3:0.4793, 5:0.5296, 10:0.6366, 20:0.2759
test err 1:0.2692, 3:0.3681, 5:0.4005, 10:0.4184, 20:0.2024
