**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2008_super', dir_data='/mnt/disk/RL/zf/data/MQ2008/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.3, dropout=0.1, epoch=50, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='PagewiseRank', n_head=1, num_epoches=100, num_layers=1, page=5, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3846, 3:0.4370, 5:0.4993, 10:0.5776, 20:0.2517
test err 1:0.2404, 3:0.3398, 5:0.3710, 10:0.3884, 20:0.1784
test ndcg 1:0.3526, 3:0.3838, 5:0.4229, 10:0.5322, 20:0.2198
test err 1:0.2260, 3:0.3195, 5:0.3420, 10:0.3676, 20:0.1544
test ndcg 1:0.3590, 3:0.3997, 5:0.4491, 10:0.5481, 20:0.2318
test err 1:0.2212, 3:0.3164, 5:0.3495, 10:0.3711, 20:0.1634
test ndcg 1:0.3462, 3:0.4248, 5:0.4581, 10:0.5475, 20:0.2352
test err 1:0.2019, 3:0.3176, 5:0.3464, 10:0.3660, 20:0.1609
test ndcg 1:0.3333, 3:0.4294, 5:0.4788, 10:0.5579, 20:0.2362
test err 1:0.1923, 3:0.3247, 5:0.3516, 10:0.3673, 20:0.1640
test ndcg 1:0.3397, 3:0.4237, 5:0.4768, 10:0.5617, 20:0.2338
test err 1:0.1875, 3:0.3156, 5:0.3439, 10:0.3622, 20:0.1608
test ndcg 1:0.3654, 3:0.4269, 5:0.4731, 10:0.5616, 20:0.2408
test err 1:0.2067, 3:0.3252, 5:0.3523, 10:0.3721, 20:0.1680
test ndcg 1:0.3654, 3:0.4269, 5:0.4731, 10:0.5616, 20:0.2408
test err 1:0.2067, 3:0.3252, 5:0.3523, 10:0.3721, 20:0.1680
test ndcg 1:0.3846, 3:0.4209, 5:0.4752, 10:0.5737, 20:0.2399
test err 1:0.2212, 3:0.3308, 5:0.3578, 10:0.3797, 20:0.1706
