**************************************************Fold-1**************************************************
args:Namespace(dataset='MQ2007_super', dir_data='/mnt/disk/zf/data/MQ2007/', dir_output='/home/ryan/code/ranker/out/', discount=0.9, discount_pagewise=0.6, dropout=0.1, epoch=100, feature_size=46, fold=1, framework='L2R', hidden_size=100, lr=0.001, min_docs=10, min_rele=1, model='PagewiseRank', n_head=1, num_epoches=100, num_layers=1, page=5, unknown_as_zero=True, vali_per_n_step=1, weight_decay=0.0005)
test ndcg 1:0.3897, 3:0.3862, 5:0.3880, 10:0.4152, 20:0.4896
test err 1:0.1853, 3:0.2687, 5:0.2925, 10:0.3124, 20:0.3236
test ndcg 1:0.3885, 3:0.3634, 5:0.3750, 10:0.3836, 20:0.4535
test err 1:0.1862, 3:0.2589, 5:0.2854, 10:0.3029, 20:0.3140
test ndcg 1:0.4000, 3:0.3874, 5:0.3914, 10:0.4078, 20:0.4758
test err 1:0.1931, 3:0.2722, 5:0.2963, 10:0.3152, 20:0.3255
test ndcg 1:0.4161, 3:0.4052, 5:0.4162, 10:0.4578, 20:0.5251
test err 1:0.1948, 3:0.2785, 5:0.3074, 10:0.3306, 20:0.3390
test ndcg 1:0.3965, 3:0.3737, 5:0.3733, 10:0.4027, 20:0.4736
test err 1:0.1974, 3:0.2723, 5:0.2945, 10:0.3163, 20:0.3267
test ndcg 1:0.3414, 3:0.3423, 5:0.3534, 10:0.3864, 20:0.4611
test err 1:0.1664, 3:0.2357, 5:0.2624, 10:0.2856, 20:0.2963
test ndcg 1:0.3080, 3:0.3319, 5:0.3411, 10:0.3998, 20:0.4717
test err 1:0.1500, 3:0.2305, 5:0.2574, 10:0.2860, 20:0.2947
test ndcg 1:0.2897, 3:0.3045, 5:0.3304, 10:0.3760, 20:0.4493
test err 1:0.1397, 3:0.2125, 5:0.2415, 10:0.2673, 20:0.2774
test ndcg 1:0.3609, 3:0.3683, 5:0.3914, 10:0.4150, 20:0.4782
test err 1:0.1741, 3:0.2522, 5:0.2824, 10:0.3026, 20:0.3122
test ndcg 1:0.3414, 3:0.3686, 5:0.3844, 10:0.4189, 20:0.4823
test err 1:0.1681, 3:0.2530, 5:0.2810, 10:0.3053, 20:0.3136
test ndcg 1:0.3391, 3:0.3469, 5:0.3650, 10:0.4096, 20:0.4796
test err 1:0.1578, 3:0.2380, 5:0.2653, 10:0.2919, 20:0.3010
test ndcg 1:0.3701, 3:0.3797, 5:0.3977, 10:0.4222, 20:0.4873
test err 1:0.1741, 3:0.2610, 5:0.2897, 10:0.3118, 20:0.3201
test ndcg 1:0.3805, 3:0.3923, 5:0.4098, 10:0.4270, 20:0.4899
test err 1:0.1853, 3:0.2723, 5:0.3031, 10:0.3222, 20:0.3306
test ndcg 1:0.3632, 3:0.3507, 5:0.3489, 10:0.3920, 20:0.4694
test err 1:0.1776, 3:0.2489, 5:0.2698, 10:0.2962, 20:0.3066
test ndcg 1:0.3805, 3:0.3814, 5:0.3999, 10:0.4138, 20:0.4872
test err 1:0.1940, 3:0.2754, 5:0.3041, 10:0.3214, 20:0.3310
test ndcg 1:0.3782, 3:0.3802, 5:0.4032, 10:0.4195, 20:0.4924
test err 1:0.1888, 3:0.2733, 5:0.3027, 10:0.3211, 20:0.3302
test ndcg 1:0.4023, 3:0.3898, 5:0.4009, 10:0.4108, 20:0.4790
test err 1:0.2000, 3:0.2790, 5:0.3058, 10:0.3237, 20:0.3330
test ndcg 1:0.3690, 3:0.3784, 5:0.3885, 10:0.4321, 20:0.4991
test err 1:0.1698, 3:0.2563, 5:0.2801, 10:0.3058, 20:0.3149
test ndcg 1:0.4126, 3:0.4266, 5:0.4439, 10:0.4707, 20:0.5308
test err 1:0.1991, 3:0.2938, 5:0.3219, 10:0.3416, 20:0.3496
test ndcg 1:0.3954, 3:0.4240, 5:0.4270, 10:0.4601, 20:0.5292
test err 1:0.1845, 3:0.2839, 5:0.3095, 10:0.3311, 20:0.3397
test ndcg 1:0.3023, 3:0.3346, 5:0.3498, 10:0.3959, 20:0.4690
test err 1:0.1388, 3:0.2284, 5:0.2546, 10:0.2824, 20:0.2908
test ndcg 1:0.3437, 3:0.3371, 5:0.3457, 10:0.3726, 20:0.4538
test err 1:0.1664, 3:0.2444, 5:0.2691, 10:0.2889, 20:0.3004
test ndcg 1:0.3414, 3:0.3426, 5:0.3500, 10:0.3841, 20:0.4701
test err 1:0.1647, 3:0.2449, 5:0.2701, 10:0.2908, 20:0.3027
test ndcg 1:0.3264, 3:0.3431, 5:0.3516, 10:0.3902, 20:0.4736
test err 1:0.1552, 3:0.2412, 5:0.2657, 10:0.2880, 20:0.2989
test ndcg 1:0.2770, 3:0.3037, 5:0.3197, 10:0.3899, 20:0.4683
test err 1:0.1250, 3:0.2029, 5:0.2288, 10:0.2620, 20:0.2716
test ndcg 1:0.2977, 3:0.3185, 5:0.3312, 10:0.3937, 20:0.4774
test err 1:0.1405, 3:0.2222, 5:0.2469, 10:0.2781, 20:0.2883
test ndcg 1:0.3034, 3:0.3337, 5:0.3470, 10:0.4023, 20:0.4802
test err 1:0.1379, 3:0.2207, 5:0.2479, 10:0.2762, 20:0.2861
test ndcg 1:0.3782, 3:0.3737, 5:0.3778, 10:0.4015, 20:0.4775
test err 1:0.1836, 3:0.2672, 5:0.2926, 10:0.3118, 20:0.3220
test ndcg 1:0.3988, 3:0.3988, 5:0.3987, 10:0.4205, 20:0.4930
test err 1:0.1974, 3:0.2830, 5:0.3068, 10:0.3255, 20:0.3359
test ndcg 1:0.3839, 3:0.3842, 5:0.3878, 10:0.4238, 20:0.4979
test err 1:0.1862, 3:0.2714, 5:0.2974, 10:0.3173, 20:0.3272
test ndcg 1:0.3644, 3:0.3673, 5:0.3761, 10:0.4187, 20:0.4936
test err 1:0.1767, 3:0.2583, 5:0.2850, 10:0.3072, 20:0.3173
test ndcg 1:0.3586, 3:0.3603, 5:0.3584, 10:0.3955, 20:0.4782
test err 1:0.1741, 3:0.2539, 5:0.2773, 10:0.2999, 20:0.3103
test ndcg 1:0.3655, 3:0.3506, 5:0.3564, 10:0.3934, 20:0.4706
test err 1:0.1793, 3:0.2520, 5:0.2774, 10:0.3006, 20:0.3110
test ndcg 1:0.3644, 3:0.3516, 5:0.3585, 10:0.3911, 20:0.4653
test err 1:0.1767, 3:0.2508, 5:0.2762, 10:0.2988, 20:0.3092
test ndcg 1:0.2575, 3:0.2765, 5:0.2996, 10:0.3364, 20:0.4086
test err 1:0.1241, 3:0.1935, 5:0.2243, 10:0.2464, 20:0.2580
test ndcg 1:0.1402, 3:0.2020, 5:0.2337, 10:0.2840, 20:0.3662
test err 1:0.0621, 3:0.1326, 5:0.1594, 10:0.1847, 20:0.1979
test ndcg 1:0.1931, 3:0.2518, 5:0.2818, 10:0.3263, 20:0.4031
