test ndcg 1:0.4310, 3:0.4557, 5:0.4698, 7:0.4864, 10:0.5055
test ndcg 1:0.4805, 3:0.4815, 5:0.4966, 7:0.5043, 10:0.5211
test ndcg 1:0.4965, 3:0.4997, 5:0.5122, 7:0.5253, 10:0.5411
test ndcg 1:0.4885, 3:0.4967, 5:0.5014, 7:0.5158, 10:0.5305
test ndcg 1:0.4701, 3:0.4842, 5:0.4901, 7:0.5036, 10:0.5227
test ndcg 1:0.4644, 3:0.4784, 5:0.4912, 7:0.5102, 10:0.5268
test ndcg 1:0.4644, 3:0.4430, 5:0.4574, 7:0.4678, 10:0.4866
test ndcg 1:0.4874, 3:0.4911, 5:0.4991, 7:0.5098, 10:0.5247
test ndcg 1:0.5080, 3:0.5020, 5:0.5103, 7:0.5155, 10:0.5295
test ndcg 1:0.5023, 3:0.4955, 5:0.5111, 7:0.5197, 10:0.5417
test ndcg 1:0.5103, 3:0.5029, 5:0.5028, 7:0.5219, 10:0.5420
test ndcg 1:0.5218, 3:0.5211, 5:0.5213, 7:0.5316, 10:0.5529
test ndcg 1:0.4506, 3:0.4565, 5:0.4703, 7:0.4881, 10:0.5096
test ndcg 1:0.5287, 3:0.5161, 5:0.5218, 7:0.5321, 10:0.5480
test ndcg 1:0.4965, 3:0.5172, 5:0.5198, 7:0.5337, 10:0.5477
test ndcg 1:0.5069, 3:0.4951, 5:0.5056, 7:0.5184, 10:0.5356
test ndcg 1:0.4874, 3:0.4902, 5:0.4943, 7:0.5114, 10:0.5253
test ndcg 1:0.4598, 3:0.4325, 5:0.4451, 7:0.4581, 10:0.4736
test ndcg 1:0.4644, 3:0.4589, 5:0.4656, 7:0.4769, 10:0.4919
test ndcg 1:0.5080, 3:0.4870, 5:0.5001, 7:0.5091, 10:0.5215
test ndcg 1:0.5149, 3:0.4996, 5:0.5100, 7:0.5181, 10:0.5305
test ndcg 1:0.4391, 3:0.4709, 5:0.4930, 7:0.5024, 10:0.5178
test ndcg 1:0.4713, 3:0.4545, 5:0.4602, 7:0.4690, 10:0.4915
test ndcg 1:0.4621, 3:0.4484, 5:0.4497, 7:0.4577, 10:0.4768
test ndcg 1:0.4874, 3:0.4474, 5:0.4589, 7:0.4681, 10:0.4818
test ndcg 1:0.4655, 3:0.4404, 5:0.4545, 7:0.4659, 10:0.4886
test ndcg 1:0.4931, 3:0.4730, 5:0.4716, 7:0.4866, 10:0.5127
test ndcg 1:0.4770, 3:0.4856, 5:0.4927, 7:0.5080, 10:0.5236
test ndcg 1:0.4713, 3:0.4523, 5:0.4563, 7:0.4626, 10:0.4758
test ndcg 1:0.5103, 3:0.5109, 5:0.5147, 7:0.5244, 10:0.5416
test ndcg 1:0.5046, 3:0.5057, 5:0.5089, 7:0.5201, 10:0.5355
test ndcg 1:0.4988, 3:0.4906, 5:0.4999, 7:0.5173, 10:0.5351
test ndcg 1:0.4517, 3:0.4657, 5:0.4738, 7:0.4883, 10:0.5089
test ndcg 1:0.4897, 3:0.4812, 5:0.4909, 7:0.5053, 10:0.5264
test ndcg 1:0.4713, 3:0.4554, 5:0.4573, 7:0.4642, 10:0.4858
test ndcg 1:0.4540, 3:0.4458, 5:0.4597, 7:0.4679, 10:0.4912
test ndcg 1:0.5172, 3:0.4914, 5:0.4935, 7:0.5090, 10:0.5309
test ndcg 1:0.4563, 3:0.4588, 5:0.4841, 7:0.5012, 10:0.5237
test ndcg 1:0.4839, 3:0.4956, 5:0.5023, 7:0.5175, 10:0.5369
test ndcg 1:0.4965, 3:0.4904, 5:0.4957, 7:0.5134, 10:0.5290
test ndcg 1:0.4793, 3:0.4913, 5:0.4978, 7:0.5168, 10:0.5284
test ndcg 1:0.5253, 3:0.5188, 5:0.5136, 7:0.5353, 10:0.5509
test ndcg 1:0.5172, 3:0.5149, 5:0.5154, 7:0.5308, 10:0.5489
test ndcg 1:0.4943, 3:0.5080, 5:0.5083, 7:0.5243, 10:0.5406
test ndcg 1:0.4701, 3:0.5000, 5:0.5024, 7:0.5185, 10:0.5372
test ndcg 1:0.4793, 3:0.4889, 5:0.4994, 7:0.5215, 10:0.5394
test ndcg 1:0.4954, 3:0.5008, 5:0.5028, 7:0.5097, 10:0.5304
test ndcg 1:0.4644, 3:0.4672, 5:0.4795, 7:0.4924, 10:0.5138
test ndcg 1:0.5000, 3:0.4976, 5:0.5049, 7:0.5208, 10:0.5389
test ndcg 1:0.5000, 3:0.4936, 5:0.5075, 7:0.5217, 10:0.5404
test ndcg 1:0.4920, 3:0.4876, 5:0.4906, 7:0.5075, 10:0.5282
test ndcg 1:0.5000, 3:0.5035, 5:0.5166, 7:0.5320, 10:0.5495
test ndcg 1:0.5057, 3:0.5041, 5:0.5127, 7:0.5322, 10:0.5466
test ndcg 1:0.4965, 3:0.5133, 5:0.5201, 7:0.5317, 10:0.5512
test ndcg 1:0.4552, 3:0.4912, 5:0.5007, 7:0.5226, 10:0.5344
test ndcg 1:0.5034, 3:0.5058, 5:0.5109, 7:0.5311, 10:0.5436
test ndcg 1:0.4977, 3:0.4983, 5:0.5096, 7:0.5266, 10:0.5413
test ndcg 1:0.4839, 3:0.4848, 5:0.4952, 7:0.5118, 10:0.5303
test ndcg 1:0.4942, 3:0.5089, 5:0.5098, 7:0.5246, 10:0.5438
test ndcg 1:0.5276, 3:0.5238, 5:0.5301, 7:0.5390, 10:0.5552
test ndcg 1:0.4943, 3:0.5048, 5:0.5087, 7:0.5219, 10:0.5411
test ndcg 1:0.4195, 3:0.4235, 5:0.4379, 7:0.4583, 10:0.4780
test ndcg 1:0.4494, 3:0.4517, 5:0.4698, 7:0.4748, 10:0.4960
test ndcg 1:0.4391, 3:0.4480, 5:0.4531, 7:0.4698, 10:0.4886
test ndcg 1:0.4621, 3:0.4824, 5:0.4902, 7:0.5066, 10:0.5208
test ndcg 1:0.4897, 3:0.4982, 5:0.5043, 7:0.5110, 10:0.5260
test ndcg 1:0.4816, 3:0.4821, 5:0.4980, 7:0.5066, 10:0.5228
test ndcg 1:0.5069, 3:0.5080, 5:0.5101, 7:0.5210, 10:0.5347
test ndcg 1:0.4965, 3:0.4953, 5:0.5144, 7:0.5248, 10:0.5447
test ndcg 1:0.5299, 3:0.5172, 5:0.5236, 7:0.5363, 10:0.5532
test ndcg 1:0.5000, 3:0.5038, 5:0.5129, 7:0.5250, 10:0.5437
test ndcg 1:0.4839, 3:0.4859, 5:0.4971, 7:0.5129, 10:0.5310
test ndcg 1:0.4621, 3:0.4632, 5:0.4767, 7:0.4891, 10:0.5105
test ndcg 1:0.5034, 3:0.4910, 5:0.5038, 7:0.5121, 10:0.5289
test ndcg 1:0.4759, 3:0.4710, 5:0.4906, 7:0.5029, 10:0.5201
test ndcg 1:0.5034, 3:0.5023, 5:0.5084, 7:0.5241, 10:0.5355
test ndcg 1:0.4839, 3:0.5059, 5:0.5015, 7:0.5170, 10:0.5327
test ndcg 1:0.4713, 3:0.4770, 5:0.4984, 7:0.5088, 10:0.5313
test ndcg 1:0.4954, 3:0.5040, 5:0.5155, 7:0.5195, 10:0.5422
test ndcg 1:0.4655, 3:0.4831, 5:0.4971, 7:0.5109, 10:0.5302
test ndcg 1:0.5126, 3:0.4968, 5:0.5086, 7:0.5223, 10:0.5376
test ndcg 1:0.4828, 3:0.4819, 5:0.4929, 7:0.5120, 10:0.5287
test ndcg 1:0.4920, 3:0.4881, 5:0.4973, 7:0.5139, 10:0.5331
test ndcg 1:0.5149, 3:0.5125, 5:0.5233, 7:0.5379, 10:0.5532
test ndcg 1:0.4793, 3:0.4980, 5:0.5110, 7:0.5236, 10:0.5394
test ndcg 1:0.5092, 3:0.5081, 5:0.5166, 7:0.5299, 10:0.5491
test ndcg 1:0.5046, 3:0.5046, 5:0.5226, 7:0.5344, 10:0.5462
test ndcg 1:0.5046, 3:0.5100, 5:0.5188, 7:0.5328, 10:0.5481
test ndcg 1:0.5023, 3:0.5063, 5:0.5163, 7:0.5340, 10:0.5449
test ndcg 1:0.5218, 3:0.5133, 5:0.5240, 7:0.5389, 10:0.5525
test ndcg 1:0.4943, 3:0.4962, 5:0.5095, 7:0.5209, 10:0.5411
