test ndcg 1:0.3478, 3:0.4429, 5:0.4870, 7:0.5387, 10:0.5805
test ndcg 1:0.4928, 3:0.5550, 5:0.5665, 7:0.6039, 10:0.6439
test ndcg 1:0.4879, 3:0.5416, 5:0.5677, 7:0.6063, 10:0.6489
test ndcg 1:0.5266, 3:0.5518, 5:0.5740, 7:0.6082, 10:0.6463
test ndcg 1:0.4879, 3:0.5403, 5:0.5665, 7:0.6017, 10:0.6420
test ndcg 1:0.5121, 3:0.5414, 5:0.5849, 7:0.6189, 10:0.6492
test ndcg 1:0.5507, 3:0.5609, 5:0.5877, 7:0.6109, 10:0.6596
test ndcg 1:0.5362, 3:0.5647, 5:0.5946, 7:0.6118, 10:0.6544
test ndcg 1:0.5362, 3:0.5371, 5:0.5772, 7:0.5962, 10:0.6425
test ndcg 1:0.5217, 3:0.5582, 5:0.5693, 7:0.6058, 10:0.6495
test ndcg 1:0.5169, 3:0.5472, 5:0.5805, 7:0.6006, 10:0.6553
test ndcg 1:0.5169, 3:0.5293, 5:0.5576, 7:0.5912, 10:0.6418
test ndcg 1:0.5362, 3:0.5563, 5:0.5983, 7:0.6028, 10:0.6555
test ndcg 1:0.5024, 3:0.5698, 5:0.5919, 7:0.6041, 10:0.6491
test ndcg 1:0.5217, 3:0.5236, 5:0.5841, 7:0.5982, 10:0.6477
test ndcg 1:0.4976, 3:0.5171, 5:0.5452, 7:0.5885, 10:0.6319
test ndcg 1:0.5411, 3:0.5417, 5:0.5899, 7:0.6046, 10:0.6514
test ndcg 1:0.5314, 3:0.5482, 5:0.5719, 7:0.6016, 10:0.6493
test ndcg 1:0.4396, 3:0.4967, 5:0.5285, 7:0.5614, 10:0.5984
test ndcg 1:0.4928, 3:0.5553, 5:0.5825, 7:0.6042, 10:0.6465
test ndcg 1:0.5314, 3:0.5394, 5:0.5633, 7:0.5992, 10:0.6399
test ndcg 1:0.5652, 3:0.5595, 5:0.5916, 7:0.6081, 10:0.6542
test ndcg 1:0.5556, 3:0.5474, 5:0.5890, 7:0.6027, 10:0.6496
test ndcg 1:0.5411, 3:0.5478, 5:0.5795, 7:0.6018, 10:0.6422
test ndcg 1:0.5652, 3:0.5689, 5:0.5881, 7:0.6096, 10:0.6491
test ndcg 1:0.5217, 3:0.5360, 5:0.5784, 7:0.5919, 10:0.6458
test ndcg 1:0.5362, 3:0.5417, 5:0.5845, 7:0.6111, 10:0.6568
test ndcg 1:0.5507, 3:0.5627, 5:0.5786, 7:0.6001, 10:0.6426
test ndcg 1:0.5121, 3:0.5318, 5:0.5686, 7:0.5944, 10:0.6424
test ndcg 1:0.4783, 3:0.5400, 5:0.5660, 7:0.5941, 10:0.6393
test ndcg 1:0.5024, 3:0.5388, 5:0.5599, 7:0.5969, 10:0.6385
test ndcg 1:0.5459, 3:0.5443, 5:0.5678, 7:0.5966, 10:0.6404
test ndcg 1:0.5700, 3:0.5579, 5:0.5845, 7:0.6086, 10:0.6563
test ndcg 1:0.4396, 3:0.4996, 5:0.5231, 7:0.5633, 10:0.6063
test ndcg 1:0.5314, 3:0.5457, 5:0.5578, 7:0.5885, 10:0.6331
test ndcg 1:0.4976, 3:0.5282, 5:0.5410, 7:0.5847, 10:0.6373
test ndcg 1:0.5942, 3:0.5694, 5:0.5987, 7:0.6168, 10:0.6580
test ndcg 1:0.5314, 3:0.5602, 5:0.5799, 7:0.6068, 10:0.6603
test ndcg 1:0.6087, 3:0.5806, 5:0.6069, 7:0.6183, 10:0.6675
test ndcg 1:0.5894, 3:0.5628, 5:0.6005, 7:0.6262, 10:0.6700
test ndcg 1:0.5845, 3:0.5526, 5:0.5887, 7:0.6081, 10:0.6595
test ndcg 1:0.5652, 3:0.5602, 5:0.5974, 7:0.6121, 10:0.6570
test ndcg 1:0.5604, 3:0.5584, 5:0.5943, 7:0.6071, 10:0.6594
test ndcg 1:0.5169, 3:0.5297, 5:0.5856, 7:0.6036, 10:0.6566
test ndcg 1:0.5362, 3:0.5512, 5:0.5901, 7:0.6073, 10:0.6602
test ndcg 1:0.5266, 3:0.5482, 5:0.5780, 7:0.6025, 10:0.6404
test ndcg 1:0.4928, 3:0.5268, 5:0.5696, 7:0.5985, 10:0.6358
test ndcg 1:0.5266, 3:0.5484, 5:0.5804, 7:0.5876, 10:0.6331
test ndcg 1:0.5314, 3:0.5460, 5:0.5733, 7:0.5995, 10:0.6483
test ndcg 1:0.5894, 3:0.5674, 5:0.6052, 7:0.6138, 10:0.6602
test ndcg 1:0.5652, 3:0.5386, 5:0.5791, 7:0.6063, 10:0.6521
test ndcg 1:0.5266, 3:0.5380, 5:0.5697, 7:0.5929, 10:0.6485
test ndcg 1:0.5411, 3:0.5479, 5:0.5888, 7:0.6029, 10:0.6530
test ndcg 1:0.5459, 3:0.5586, 5:0.5874, 7:0.6030, 10:0.6566
test ndcg 1:0.5507, 3:0.5457, 5:0.5735, 7:0.6000, 10:0.6459
test ndcg 1:0.5700, 3:0.5459, 5:0.5915, 7:0.6167, 10:0.6610
test ndcg 1:0.5507, 3:0.5780, 5:0.6060, 7:0.6132, 10:0.6584
test ndcg 1:0.5652, 3:0.5519, 5:0.5889, 7:0.6011, 10:0.6449
test ndcg 1:0.5314, 3:0.5449, 5:0.5716, 7:0.6001, 10:0.6463
test ndcg 1:0.5459, 3:0.5465, 5:0.5903, 7:0.6164, 10:0.6610
test ndcg 1:0.5556, 3:0.5542, 5:0.5900, 7:0.6077, 10:0.6581
test ndcg 1:0.4928, 3:0.5269, 5:0.5596, 7:0.5890, 10:0.6304
