test ndcg 1:0.3782, 3:0.4607, 5:0.5161, 7:0.5354, 10:0.5729
test err 1:0.2163, 3:0.3471, 5:0.3753, 7:0.3805, 10:0.3852
test ndcg 1:0.4359, 3:0.4714, 5:0.4979, 7:0.5406, 10:0.6041
test err 1:0.2404, 3:0.3627, 5:0.3809, 7:0.3889, 10:0.4018
test ndcg 1:0.3269, 3:0.3957, 5:0.4675, 7:0.5193, 10:0.5576
test err 1:0.1779, 3:0.2942, 5:0.3258, 7:0.3385, 10:0.3440
test ndcg 1:0.4038, 3:0.4604, 5:0.5144, 7:0.5602, 10:0.6106
test err 1:0.2260, 3:0.3335, 5:0.3670, 7:0.3771, 10:0.3865
test ndcg 1:0.4615, 3:0.4884, 5:0.5082, 7:0.5848, 10:0.6164
test err 1:0.2692, 3:0.3790, 5:0.3970, 7:0.4137, 10:0.4191
test ndcg 1:0.4167, 3:0.4861, 5:0.5422, 7:0.5913, 10:0.6277
test err 1:0.2356, 3:0.3619, 5:0.3917, 7:0.4007, 10:0.4060
test ndcg 1:0.4615, 3:0.4614, 5:0.5458, 7:0.5864, 10:0.6241
test err 1:0.2596, 3:0.3536, 5:0.3898, 7:0.4002, 10:0.4073
test ndcg 1:0.4295, 3:0.4474, 5:0.4978, 7:0.5511, 10:0.5877
test err 1:0.2356, 3:0.3411, 5:0.3671, 7:0.3777, 10:0.3840
test ndcg 1:0.3590, 3:0.3855, 5:0.4602, 7:0.5155, 10:0.5670
test err 1:0.2019, 3:0.3078, 5:0.3408, 7:0.3525, 10:0.3580
test ndcg 1:0.4679, 3:0.4939, 5:0.5472, 7:0.5915, 10:0.6344
test err 1:0.2837, 3:0.3882, 5:0.4163, 7:0.4249, 10:0.4321
test ndcg 1:0.5385, 3:0.5014, 5:0.5217, 7:0.5559, 10:0.6087
test err 1:0.3077, 3:0.3963, 5:0.4158, 7:0.4239, 10:0.4334
test ndcg 1:0.5256, 3:0.5233, 5:0.5546, 7:0.5984, 10:0.6427
test err 1:0.2981, 3:0.3976, 5:0.4225, 7:0.4323, 10:0.4388
test ndcg 1:0.4423, 3:0.4810, 5:0.5196, 7:0.5794, 10:0.6200
test err 1:0.2548, 3:0.3706, 5:0.3948, 7:0.4055, 10:0.4122
test ndcg 1:0.4808, 3:0.4678, 5:0.5324, 7:0.5796, 10:0.6342
test err 1:0.2740, 3:0.3707, 5:0.4019, 7:0.4116, 10:0.4190
test ndcg 1:0.4615, 3:0.4874, 5:0.5366, 7:0.5786, 10:0.6386
test err 1:0.2692, 3:0.3780, 5:0.4093, 7:0.4181, 10:0.4263
test ndcg 1:0.4295, 3:0.4354, 5:0.4916, 7:0.5396, 10:0.5867
test err 1:0.2452, 3:0.3470, 5:0.3759, 7:0.3859, 10:0.3915
test ndcg 1:0.4936, 3:0.4895, 5:0.5340, 7:0.5790, 10:0.6243
test err 1:0.2837, 3:0.3920, 5:0.4152, 7:0.4251, 10:0.4326
test ndcg 1:0.3654, 3:0.4209, 5:0.4905, 7:0.5238, 10:0.5638
test err 1:0.1971, 3:0.3265, 5:0.3590, 7:0.3658, 10:0.3717
test ndcg 1:0.4295, 3:0.4693, 5:0.5213, 7:0.5616, 10:0.6121
test err 1:0.2356, 3:0.3562, 5:0.3794, 7:0.3895, 10:0.3992
test ndcg 1:0.4679, 3:0.4930, 5:0.5392, 7:0.5891, 10:0.6360
test err 1:0.2837, 3:0.3926, 5:0.4166, 7:0.4268, 10:0.4344
test ndcg 1:0.4423, 3:0.4505, 5:0.4934, 7:0.5239, 10:0.5838
test err 1:0.2452, 3:0.3516, 5:0.3734, 7:0.3826, 10:0.3935
test ndcg 1:0.5192, 3:0.5039, 5:0.5080, 7:0.5599, 10:0.6213
test err 1:0.3029, 3:0.3943, 5:0.4120, 7:0.4250, 10:0.4343
test ndcg 1:0.5385, 3:0.5257, 5:0.5650, 7:0.6011, 10:0.6576
test err 1:0.3269, 3:0.4202, 5:0.4434, 7:0.4516, 10:0.4588
test ndcg 1:0.5192, 3:0.4954, 5:0.5295, 7:0.5796, 10:0.6370
test err 1:0.3029, 3:0.3972, 5:0.4208, 7:0.4290, 10:0.4391
