test ndcg 1:0.4241, 3:0.4593, 5:0.4781, 7:0.4960, 10:0.5135
test err 1:0.1905, 3:0.2947, 5:0.3246, 7:0.3373, 10:0.3459
test ndcg 1:0.4080, 3:0.4133, 5:0.4254, 7:0.4384, 10:0.4542
test err 1:0.1853, 3:0.2706, 5:0.2994, 7:0.3120, 10:0.3213
test ndcg 1:0.4851, 3:0.5028, 5:0.5159, 7:0.5207, 10:0.5367
test err 1:0.2310, 3:0.3335, 5:0.3606, 7:0.3722, 10:0.3805
test ndcg 1:0.4954, 3:0.5013, 5:0.5080, 7:0.5212, 10:0.5424
test err 1:0.2336, 3:0.3310, 5:0.3596, 7:0.3710, 10:0.3797
test ndcg 1:0.4793, 3:0.4625, 5:0.4842, 7:0.4992, 10:0.5228
test err 1:0.2302, 3:0.3149, 5:0.3442, 7:0.3566, 10:0.3657
test ndcg 1:0.4115, 3:0.4257, 5:0.4396, 7:0.4510, 10:0.4657
test err 1:0.1966, 3:0.2869, 5:0.3159, 7:0.3277, 10:0.3357
test ndcg 1:0.5241, 3:0.5002, 5:0.5092, 7:0.5247, 10:0.5449
test err 1:0.2466, 3:0.3380, 5:0.3627, 7:0.3749, 10:0.3848
test ndcg 1:0.4782, 3:0.4855, 5:0.4884, 7:0.5119, 10:0.5347
test err 1:0.2241, 3:0.3213, 5:0.3448, 7:0.3603, 10:0.3690
test ndcg 1:0.4885, 3:0.5006, 5:0.5051, 7:0.5219, 10:0.5383
test err 1:0.2353, 3:0.3358, 5:0.3604, 7:0.3738, 10:0.3806
test ndcg 1:0.4770, 3:0.5094, 5:0.5223, 7:0.5258, 10:0.5471
test err 1:0.2250, 3:0.3303, 5:0.3578, 7:0.3685, 10:0.3769
test ndcg 1:0.4920, 3:0.4983, 5:0.5058, 7:0.5224, 10:0.5386
test err 1:0.2397, 3:0.3335, 5:0.3608, 7:0.3730, 10:0.3805
test ndcg 1:0.5011, 3:0.5126, 5:0.5248, 7:0.5364, 10:0.5467
test err 1:0.2414, 3:0.3415, 5:0.3695, 7:0.3797, 10:0.3866
test ndcg 1:0.4862, 3:0.4997, 5:0.5097, 7:0.5207, 10:0.5450
test err 1:0.2233, 3:0.3260, 5:0.3523, 7:0.3630, 10:0.3735
test ndcg 1:0.4965, 3:0.5016, 5:0.5126, 7:0.5272, 10:0.5492
test err 1:0.2328, 3:0.3316, 5:0.3602, 7:0.3718, 10:0.3803
test ndcg 1:0.5011, 3:0.5098, 5:0.5166, 7:0.5350, 10:0.5487
test err 1:0.2345, 3:0.3360, 5:0.3623, 7:0.3758, 10:0.3833
test ndcg 1:0.5253, 3:0.5142, 5:0.5256, 7:0.5404, 10:0.5505
test err 1:0.2474, 3:0.3435, 5:0.3707, 7:0.3825, 10:0.3897
test ndcg 1:0.4805, 3:0.4875, 5:0.4998, 7:0.5193, 10:0.5353
test err 1:0.2310, 3:0.3287, 5:0.3568, 7:0.3685, 10:0.3763
test ndcg 1:0.5287, 3:0.5291, 5:0.5341, 7:0.5441, 10:0.5585
test err 1:0.2500, 3:0.3510, 5:0.3762, 7:0.3877, 10:0.3955
test ndcg 1:0.5138, 3:0.5245, 5:0.5273, 7:0.5336, 10:0.5522
test err 1:0.2509, 3:0.3507, 5:0.3750, 7:0.3861, 10:0.3949
test ndcg 1:0.5080, 3:0.4940, 5:0.5073, 7:0.5213, 10:0.5343
test err 1:0.2448, 3:0.3326, 5:0.3620, 7:0.3737, 10:0.3812
test ndcg 1:0.5034, 3:0.5044, 5:0.5187, 7:0.5323, 10:0.5455
test err 1:0.2414, 3:0.3398, 5:0.3687, 7:0.3791, 10:0.3864
test ndcg 1:0.5241, 3:0.5169, 5:0.5236, 7:0.5358, 10:0.5518
test err 1:0.2500, 3:0.3459, 5:0.3722, 7:0.3841, 10:0.3925
test ndcg 1:0.5057, 3:0.5059, 5:0.5188, 7:0.5289, 10:0.5493
test err 1:0.2379, 3:0.3329, 5:0.3603, 7:0.3717, 10:0.3809
test ndcg 1:0.4954, 3:0.5003, 5:0.5062, 7:0.5252, 10:0.5411
test err 1:0.2371, 3:0.3294, 5:0.3565, 7:0.3702, 10:0.3776
test ndcg 1:0.5092, 3:0.5120, 5:0.5177, 7:0.5302, 10:0.5495
